COXORB Performance Data   13:55  29/09/2018 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
00000,0:00:00.0,00001,030.5,077,02:07,03.95,07.85
00025,0:00:06.5,00003,030.2,075,02:08,03.90,07.72
00050,0:00:12.7,00006,030.1,052,02:06,03.96,07.80
00075,0:00:19.1,00010,030.2,035,02:07,03.94,07.80
00100,0:00:25.1,00013,030.3,031,02:03,04.08,07.99
00125,0:00:31.5,00016,029.8,026,02:05,04.00,08.06
00150,0:00:37.9,00019,030.0,023,02:10,03.85,07.81
00175,0:00:44.3,00022,030.0,024,02:10,03.85,07.70
00200,0:00:50.7,00025,029.9,024,02:06,03.97,07.91
00225,0:00:57.3,00029,030.2,023,02:12,03.80,07.56
00250,0:01:03.7,00032,029.7,024,02:11,03.81,07.69
00275,0:01:10.3,00035,029.7,023,02:10,03.85,07.70
00300,0:01:16.9,00038,029.7,022,02:13,03.77,07.59
00325,0:01:23.7,00042,029.7,023,02:16,03.67,07.37
00350,0:01:30.1,00045,029.9,024,02:11,03.83,07.56
00375,0:01:36.7,00048,029.7,021,02:10,03.84,07.69
00400,0:01:43.3,00052,030.2,019,02:11,03.83,07.62
00425,0:01:49.7,00055,029.9,020,02:11,03.82,07.58
00450,0:01:55.9,00058,029.9,022,02:06,03.98,07.82
00475,0:02:02.7,00061,030.3,022,02:14,03.72,07.53
00500,0:02:08.9,00064,030.0,022,02:05,04.00,07.78
00525,0:02:15.1,00068,030.4,023,02:05,04.01,07.88
00550,0:02:21.5,00071,030.0,023,02:08,03.92,07.90
00575,0:02:27.7,00074,030.1,024,02:05,04.00,07.94
00600,0:02:34.1,00077,029.8,024,02:09,03.87,07.82
00625,0:02:40.5,00080,030.0,022,02:07,03.94,07.82
00650,0:02:46.9,00083,030.0,019,02:12,03.80,07.67
00675,0:02:53.1,00087,030.0,020,02:04,04.02,07.93
00700,0:02:59.5,00090,030.4,021,02:11,03.83,07.64
00725,0:03:06.3,00093,030.1,017,02:12,03.79,07.54
00750,0:03:12.9,00097,030.0,016,02:12,03.80,07.53
00775,0:03:19.3,00100,029.8,018,02:12,03.78,07.58
00800,0:03:26.1,00103,029.9,023,02:13,03.76,07.55
00825,0:03:32.7,00106,029.9,025,02:14,03.74,07.50
00850,0:03:39.1,00110,029.8,025,02:12,03.80,07.66
00875,0:03:45.7,00113,029.7,025,02:13,03.76,07.61
00900,0:03:52.5,00116,029.8,023,02:14,03.74,07.49
00925,0:03:59.1,00119,029.7,023,02:14,03.73,07.54
00950,0:04:05.9,00123,029.8,024,02:15,03.70,07.47
00975,0:04:12.9,00126,029.6,023,02:17,03.64,07.36
01000,0:04:19.5,00130,029.5,022,02:17,03.64,07.34
01025,0:04:26.1,00133,029.6,024,02:14,03.73,07.46
01050,0:04:32.9,00136,029.4,024,02:13,03.77,07.65
01075,0:04:39.5,00139,029.8,025,02:13,03.75,07.53
01100,0:04:46.1,00143,029.6,024,02:15,03.70,07.53
01125,0:04:53.1,00146,029.4,022,02:17,03.64,07.45
01150,0:04:59.9,00149,029.2,022,02:16,03.68,07.47
01175,0:05:06.5,00153,029.4,021,02:16,03.67,07.49
01200,0:05:13.1,00156,029.1,022,02:13,03.77,07.66
01225,0:05:19.9,00159,030.2,021,02:11,03.82,07.53
01250,0:05:26.3,00162,029.9,024,02:13,03.76,07.52
01275,0:05:32.9,00166,030.1,025,02:13,03.77,07.47
01300,0:05:39.7,00169,029.8,023,02:14,03.73,07.51
01325,0:05:46.5,00173,029.9,025,02:15,03.70,07.38
01350,0:05:53.1,00176,030.0,025,02:16,03.67,07.32
01375,0:05:59.9,00179,029.5,024,02:14,03.74,07.51
01400,0:06:06.5,00182,029.4,023,02:14,03.72,07.60
01425,0:06:13.3,00186,029.8,024,02:16,03.68,07.43
01450,0:06:20.3,00189,029.7,024,02:18,03.63,07.32
01475,0:06:27.1,00193,029.7,024,02:17,03.64,07.36
01500,0:06:33.9,00196,029.7,024,02:17,03.64,07.34
01525,0:06:40.9,00200,029.6,028,02:19,03.60,07.26
01550,0:06:47.3,00203,029.5,023,02:12,03.80,07.62
01575,0:06:54.3,00206,029.3,024,02:16,03.67,07.62
01600,0:07:01.1,00209,029.7,026,02:17,03.64,07.41
01625,0:07:07.9,00213,029.4,026,02:17,03.64,07.40
01650,0:07:14.9,00216,029.5,027,02:20,03.57,07.28
01675,0:07:21.7,00220,029.6,023,02:16,03.69,07.43
01700,0:07:28.5,00223,029.7,023,02:19,03.61,07.28
01725,0:07:35.5,00226,029.8,025,02:19,03.59,07.20
01750,0:07:42.3,00230,029.6,025,02:20,03.57,07.19
01775,0:07:49.5,00233,029.2,025,02:20,03.58,07.29
01800,0:07:56.5,00237,029.3,023,02:22,03.51,07.22
01825,0:08:03.7,00240,029.7,022,02:22,03.53,07.18
01850,0:08:10.9,00244,029.6,024,02:28,03.38,06.90
01875,0:08:18.3,00247,029.6,022,02:29,03.36,06.80
01900,0:08:25.7,00251,029.8,025,02:28,03.37,06.79
01925,0:08:32.9,00255,029.6,020,02:24,03.47,07.00
01950,0:08:40.3,00258,029.6,019,02:26,03.42,06.90
01975,0:08:47.3,00262,029.9,000,02:25,03.45,06.83
02000,0:08:54.7,00265,029.5,003,02:25,03.46,07.00
02025,0:09:01.7,00269,029.9,004,02:23,03.50,06.95
02050,0:09:08.9,00273,029.9,008,02:24,03.47,06.95
02075,0:09:16.1,00276,030.1,030,02:23,03.50,06.98
02100,0:09:23.3,00280,030.0,069,02:28,03.38,06.91
02125,0:09:30.7,00283,029.8,065,02:30,03.34,06.73
02150,0:09:38.3,00287,029.9,082,02:30,03.34,06.71
02175,0:09:45.7,00291,029.2,072,02:31,03.31,06.78
02200,0:09:53.1,00294,029.4,045,02:27,03.40,06.90
02225,0:10:00.5,00298,029.2,044,02:30,03.33,06.82
02250,0:10:08.1,00302,029.4,038,02:30,03.34,06.72
02275,0:10:15.3,00305,029.7,028,02:24,03.47,06.88
02300,0:10:22.5,00309,029.8,034,02:27,03.41,06.89
02325,0:10:29.9,00313,029.5,035,02:29,03.36,06.76
02350,0:10:37.1,00316,029.5,034,02:23,03.49,06.95
02375,0:10:44.7,00320,029.2,033,02:33,03.26,06.83
02400,0:10:52.3,00324,029.2,038,02:31,03.32,06.79
02425,0:10:59.3,00327,029.9,037,02:22,03.52,06.94
02450,0:11:06.5,00331,030.0,040,02:25,03.46,06.86
02475,0:11:13.7,00334,029.5,041,02:21,03.54,07.16
02500,0:11:20.7,00338,029.5,028,02:22,03.52,07.07
02525,0:11:28.1,00341,029.4,024,02:27,03.40,07.02
02550,0:11:35.3,00345,029.1,025,02:26,03.43,06.96
02575,0:11:42.7,00348,029.3,029,02:26,03.42,06.97
02600,0:11:50.7,00352,029.1,028,02:34,03.24,06.74
02625,0:11:59.1,00356,029.3,026,03:02,02.74,05.63
02650,0:12:05.9,00360,030.4,030,02:15,03.71,07.09
02675,0:12:12.9,00363,029.8,033,02:19,03.61,07.26
02700,0:12:19.7,00367,030.4,050,02:17,03.65,07.12
02725,0:12:26.2,00370,030.4,000,02:11,03.81,07.38
02750,0:12:33.1,00373,030.3,000,02:16,03.68,07.35
02775,0:12:39.6,00377,030.3,000,02:17,03.65,07.25
02800,0:12:46.9,00380,030.3,093,02:21,03.55,07.06
02825,0:12:53.7,00384,030.3,064,02:18,03.63,07.16
02850,0:13:00.7,00387,030.4,038,02:20,03.57,07.03
02875,0:13:07.6,00391,030.1,024,02:23,03.50,07.02
02900,0:13:14.6,00394,030.5,026,02:18,03.62,07.01
02925,0:13:21.6,00398,029.9,027,02:23,03.50,07.13
02950,0:13:28.6,00401,029.9,029,02:21,03.55,07.07
02975,0:13:35.6,00405,030.3,028,02:18,03.62,07.15
03000,0:13:42.6,00408,029.9,025,02:19,03.59,07.20
03025,0:13:49.4,00412,029.7,026,02:20,03.58,07.22
03050,0:13:56.4,00415,029.9,029,02:20,03.56,07.12
03075,0:14:03.5,00419,030.0,029,02:20,03.57,07.04
03100,0:14:10.5,00422,029.7,031,02:18,03.62,07.20
03125,0:14:17.2,00426,029.8,032,02:20,03.58,07.16
03150,0:14:24.2,00429,029.9,032,02:18,03.62,07.19
03175,0:14:31.0,00433,030.4,034,02:18,03.62,07.16
03200,0:14:38.2,00436,030.2,034,02:22,03.53,07.02
03225,0:14:45.3,00440,029.9,034,02:22,03.53,07.04
03250,0:14:52.4,00443,030.0,036,02:25,03.46,06.98
03275,0:14:59.3,00447,030.3,043,02:19,03.61,07.03
03300,0:15:06.0,00450,030.1,044,02:13,03.76,07.34
03325,0:15:12.9,00454,030.4,023,02:19,03.61,07.17
03350,0:15:19.6,00457,030.8,020,02:15,03.71,07.14
03375,0:15:26.2,00461,031.1,021,02:14,03.73,07.11
03400,0:15:32.9,00464,030.9,022,02:14,03.73,07.19
03425,0:15:39.6,00468,030.7,025,02:14,03.72,07.25
03450,0:15:46.4,00471,030.6,035,02:17,03.66,07.15
03475,0:15:53.2,00475,030.6,039,02:18,03.63,07.14
03500,0:16:00.4,00478,030.3,041,02:25,03.45,06.88
03525,0:16:07.4,00482,030.5,041,02:22,03.51,06.85
03550,0:16:14.2,00485,031.9,040,02:14,03.73,06.89
03575,0:16:20.6,00489,031.5,033,02:13,03.77,07.16
03600,0:16:27.4,00492,031.8,036,02:14,03.74,07.01
03625,0:16:34.0,00496,031.6,033,02:12,03.78,07.10
03650,0:16:40.9,00499,031.4,036,02:12,03.78,07.23
03675,0:16:47.2,00503,031.1,040,02:13,03.75,07.15
03700,0:16:54.0,00506,031.8,054,02:12,03.79,07.14
03725,0:17:00.4,00510,032.1,059,02:12,03.79,07.09
03750,0:17:07.0,00513,031.9,055,02:12,03.78,07.09
03775,0:17:13.4,00517,032.2,056,02:07,03.95,07.24
03800,0:17:19.6,00520,032.1,051,02:04,04.03,07.49
03825,0:17:26.2,00524,032.1,048,02:14,03.74,07.03
03850,0:17:33.0,00527,032.2,053,02:14,03.73,06.91
03875,0:17:39.4,00531,032.2,055,02:12,03.78,06.97
03900,0:17:46.0,00534,032.1,049,02:11,03.81,07.06
03925,0:17:52.6,00538,031.9,048,02:12,03.78,07.08
03950,0:17:59.4,00541,031.8,053,02:17,03.65,06.90
03975,0:18:06.2,00545,031.8,065,02:16,03.67,06.82
04000,0:18:13.2,00549,031.4,058,02:20,03.57,06.79
04025,0:18:20.2,00552,031.7,060,02:20,03.58,06.75
04050,0:18:27.0,00556,031.2,054,02:17,03.64,06.90
04075,0:18:33.8,00559,032.1,076,02:14,03.72,06.95
