COXORB Performance Data   16:25  03/10/2018 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
00000,0:00:00.0,00001,030.6,037,02:09,03.88,06.55
00025,0:00:05.7,00003,031.9,052,01:57,04.26,07.50
00050,0:00:10.9,00006,030.9,055,01:45,04.77,08.84
00075,0:00:16.3,00009,031.5,051,01:46,04.73,09.00
00100,0:00:21.9,00012,031.4,053,01:53,04.43,08.68
00125,0:00:27.7,00015,030.9,054,01:56,04.30,08.35
00150,0:00:32.9,00017,031.6,051,01:50,04.56,08.45
00175,0:00:38.3,00020,031.1,051,01:48,04.62,08.83
00200,0:00:43.9,00023,031.8,051,01:50,04.55,08.65
00225,0:00:49.5,00026,031.6,051,01:52,04.46,08.49
00250,0:00:54.5,00029,031.5,051,01:44,04.79,08.81
00275,0:00:59.7,00031,031.9,050,01:43,04.87,09.03
00300,0:01:04.9,00034,031.5,050,01:45,04.77,09.13
00325,0:01:09.5,00037,031.6,048,01:35,05.26,09.73
00350,0:01:14.1,00039,031.4,049,01:29,05.59,10.27
00375,0:01:18.7,00041,031.6,051,01:31,05.52,10.48
00400,0:01:23.7,00044,031.2,049,01:37,05.15,10.13
00425,0:01:29.1,00047,030.7,047,01:47,04.66,09.32
00450,0:01:34.3,00049,030.6,046,01:46,04.71,09.22
00475,0:01:39.3,00052,030.6,046,01:42,04.89,09.47
00500,0:01:44.1,00054,030.7,045,01:36,05.20,09.87
00525,0:01:49.1,00057,030.1,043,01:42,04.92,09.96
00550,0:01:54.7,00060,030.2,043,01:50,04.56,09.25
00575,0:01:59.7,00062,030.2,043,01:47,04.69,09.20
00600,0:02:04.3,00065,030.2,044,01:32,05.44,10.26
00625,0:02:08.5,00067,030.5,046,01:26,05.80,11.03
00650,0:02:13.1,00069,030.5,046,01:29,05.63,11.09
00675,0:02:17.7,00071,030.1,045,01:30,05.53,11.14
00700,0:02:22.3,00074,030.7,046,01:33,05.40,10.57
00725,0:02:26.9,00076,030.3,046,01:33,05.40,10.81
00750,0:02:31.3,00078,030.0,046,01:30,05.57,10.86
00775,0:02:35.7,00080,030.7,046,01:30,05.57,10.90
00800,0:02:40.7,00083,030.3,046,01:36,05.21,10.52
00825,0:02:46.3,00086,030.0,046,01:48,04.63,09.57
00850,0:02:51.9,00089,029.9,043,01:55,04.35,08.92
00875,0:02:57.7,00092,030.3,045,01:55,04.35,08.66
00900,0:03:03.7,00094,029.7,045,01:59,04.21,08.68
00925,0:03:09.5,00097,030.0,044,02:00,04.17,08.29
00950,0:03:15.7,00100,029.6,044,02:02,04.09,08.32
00975,0:03:21.7,00103,029.6,042,02:00,04.18,08.35
01000,0:03:27.5,00106,029.7,043,01:57,04.27,08.44
01025,0:03:33.5,00109,029.6,044,02:00,04.16,08.40
01050,0:03:39.1,00112,029.7,045,01:54,04.37,08.68
01075,0:03:44.5,00115,030.0,044,01:49,04.59,08.97
01100,0:03:49.5,00117,029.8,043,01:42,04.91,09.62
01125,0:03:54.3,00119,029.6,043,01:41,04.97,10.00
01150,0:03:59.3,00122,029.8,045,01:37,05.16,10.27
01175,0:04:03.7,00124,029.7,044,01:34,05.31,10.49
